pin,slack
cmam_if_wrap_0/cmam_if/nif/nmc3/nrx/bitCt[0]:LAT,
cmam_if_wrap_0/cmam_if/nif/nmc3/nrx/bitCt[0]:Q,42685
cmam_if_wrap_0/cmam_if/nif/nmc3/nrx/bitCt[0]:SD,
cmam_if_wrap_0/cmam_if/nif/nmc3/nrx/bitCt[0]:SLn,
cmam_if_wrap_0/cmam_if/nif/data_rd_3_ns[16]:A,43499
cmam_if_wrap_0/cmam_if/nif/data_rd_3_ns[16]:B,40920
cmam_if_wrap_0/cmam_if/nif/data_rd_3_ns[16]:C,40868
cmam_if_wrap_0/cmam_if/nif/data_rd_3_ns[16]:Y,40868
cmam_if_wrap_0/cmam_if/nif/nmc1/adcfifo/ADCFIFO_0/genblk15_fifo_corefifo_sync_scntr/sc_r[10]:ADn,
cmam_if_wrap_0/cmam_if/nif/nmc1/adcfifo/ADCFIFO_0/genblk15_fifo_corefifo_sync_scntr/sc_r[10]:ALn,
cmam_if_wrap_0/cmam_if/nif/nmc1/adcfifo/ADCFIFO_0/genblk15_fifo_corefifo_sync_scntr/sc_r[10]:CLK,45065
cmam_if_wrap_0/cmam_if/nif/nmc1/adcfifo/ADCFIFO_0/genblk15_fifo_corefifo_sync_scntr/sc_r[10]:D,44912
cmam_if_wrap_0/cmam_if/nif/nmc1/adcfifo/ADCFIFO_0/genblk15_fifo_corefifo_sync_scntr/sc_r[10]:EN,41501
cmam_if_wrap_0/cmam_if/nif/nmc1/adcfifo/ADCFIFO_0/genblk15_fifo_corefifo_sync_scntr/sc_r[10]:LAT,
cmam_if_wrap_0/cmam_if/nif/nmc1/adcfifo/ADCFIFO_0/genblk15_fifo_corefifo_sync_scntr/sc_r[10]:Q,45065
cmam_if_wrap_0/cmam_if/nif/nmc1/adcfifo/ADCFIFO_0/genblk15_fifo_corefifo_sync_scntr/sc_r[10]:SD,
cmam_if_wrap_0/cmam_if/nif/nmc1/adcfifo/ADCFIFO_0/genblk15_fifo_corefifo_sync_scntr/sc_r[10]:SLn,
cmam_if_wrap_0/cmam_if/nif/data_rd_1_bm[30]:A,42981
cmam_if_wrap_0/cmam_if/nif/data_rd_1_bm[30]:B,41342
cmam_if_wrap_0/cmam_if/nif/data_rd_1_bm[30]:C,41185
cmam_if_wrap_0/cmam_if/nif/data_rd_1_bm[30]:Y,41185
cmam_if_wrap_0/cmam_if/nif/nmc2/nrx/tx_data_53_0_0_a2_0_a2_2:A,
cmam_if_wrap_0/cmam_if/nif/nmc2/nrx/tx_data_53_0_0_a2_0_a2_2:B,43508
cmam_if_wrap_0/cmam_if/nif/nmc2/nrx/tx_data_53_0_0_a2_0_a2_2:C,42375
cmam_if_wrap_0/cmam_if/nif/nmc2/nrx/tx_data_53_0_0_a2_0_a2_2:D,40408
cmam_if_wrap_0/cmam_if/nif/nmc2/nrx/tx_data_53_0_0_a2_0_a2_2:Y,40408
cmam_if_wrap_0/cmam_if/nif/data_rd_1_ns[30]:A,42684
cmam_if_wrap_0/cmam_if/nif/data_rd_1_ns[30]:B,41185
cmam_if_wrap_0/cmam_if/nif/data_rd_1_ns[30]:C,41133
