
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
.	.	.	.	. nm_channel_3_2, 225, 275, 70, 0, 0, 1, 1, 0, 0
.	.	.	.	.	. ACKFIFO_2, 43, 21, 19, 0, 0, 0, 1, 0, 0
.	.	.	.	.	.	. ACKFIFO_ACKFIFO_0_COREFIFO_Z1_2, 43, 21, 19, 0, 0, 0, 1, 0, 0
.	.	.	.	.	.	.	. ACKFIFO_ACKFIFO_0_corefifo_sync_scntr_Z2_2, 23, 16, 19, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. ACKFIFO_ACKFIFO_0_ram_wrapper_16s_16s_6_6_1s_1s_3s_2, 0, 0, 0, 0, 0, 0, 1, 0, 0
.	.	.	.	.	.	.	.	. ACKFIFO_ACKFIFO_0_USRAM_top_2, 0, 0, 0, 0, 0, 0, 1, 0, 0
.	.	.	.	.	. ADCFIFO_2, 55, 26, 32, 0, 0, 1, 0, 0, 0
.	.	.	.	.	.	. ADCFIFO_ADCFIFO_0_COREFIFO_Z3_2, 55, 26, 32, 0, 0, 1, 0, 0, 0
.	.	.	.	.	.	.	. ADCFIFO_ADCFIFO_0_corefifo_sync_scntr_Z4_2, 35, 20, 32, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. ADCFIFO_ADCFIFO_0_ram_wrapper_16s_16s_10_10_1s_1s_2s_2, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	.	.	.	.	.	. ADCFIFO_ADCFIFO_0_LSRAM_top_2, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	.	.	. nmic_rx_3_2, 75, 149, 11, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. deserializer_3_2, 39, 55, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. nmic_tx_3_2, 17, 78, 8, 0, 0, 0, 0, 0, 0
